Key,Time(2025-04-22),mask,F8P
1745273608,06:13:28,1,0.220
1745273609,06:13:29,1,0.220
1745273610,06:13:30,1,0.224
1745273611,06:13:31,1,0.225
1745273612,06:13:32,1,0.229
1745273613,06:13:33,1,0.231
1745273614,06:13:34,1,0.238
1745273615,06:13:35,1,0.245
1745273616,06:13:36,1,0.248
1745273617,06:13:37,1,0.251
1745273618,06:13:38,1,0.251
1745273619,06:13:39,1,0.254
1745273620,06:13:40,1,0.254
1745273621,06:13:41,1,0.263
1745273622,06:13:42,1,0.265
1745273623,06:13:43,1,0.270
1745273624,06:13:44,1,0.262
1745273625,06:13:45,1,0.266
1745273626,06:13:46,1,0.267
1745273627,06:13:47,1,0.265
1745273628,06:13:48,1,0.273
1745273629,06:13:49,1,0.270
1745273630,06:13:50,1,0.268
1745273631,06:13:51,1,0.268
1745273632,06:13:52,1,0.274
1745273633,06:13:53,1,0.284
1745273634,06:13:54,1,0.288
1745273635,06:13:55,1,0.290
1745273636,06:13:56,1,0.291
1745273637,06:13:57,1,0.285
1745273638,06:13:58,1,0.285
1745273639,06:13:59,1,0.284
1745273640,06:14:00,1,0.284
1745273641,06:14:01,1,0.285
1745273642,06:14:02,1,0.286
1745273643,06:14:03,1,0.287
1745273644,06:14:04,1,0.287
1745273645,06:14:05,1,0.287
1745273646,06:14:06,1,0.288
1745273647,06:14:07,1,0.290
1745273648,06:14:08,1,0.292
1745273649,06:14:09,1,0.294
1745273650,06:14:10,1,0.295
1745273651,06:14:11,1,0.296
1745273652,06:14:12,1,0.298
1745273653,06:14:13,1,0.298
1745273654,06:14:14,1,0.301
1745273655,06:14:15,1,0.301
1745273656,06:14:16,1,0.300
1745273657,06:14:17,1,0.300
1745273658,06:14:18,1,0.300
1745273659,06:14:19,1,0.300
1745273660,06:14:20,1,0.299
1745273661,06:14:21,1,0.301
1745273662,06:14:22,1,0.302
1745273663,06:14:23,1,0.304
1745273664,06:14:24,1,0.304
1745273665,06:14:25,1,0.305
1745273666,06:14:26,1,0.306
1745273667,06:14:27,1,0.305
1745273668,06:14:28,1,0.305
1745273669,06:14:29,1,0.305
1745273670,06:14:30,1,0.305
1745273671,06:14:31,1,0.304
1745273672,06:14:32,1,0.304
1745273673,06:14:33,1,0.303
1745273674,06:14:34,1,0.304
1745273675,06:14:35,1,0.305
1745273676,06:14:36,1,0.306
1745273677,06:14:37,1,0.307
1745273678,06:14:38,1,0.306
1745273679,06:14:39,1,0.306
1745273680,06:14:40,1,0.307
1745273681,06:14:41,1,0.308
1745273682,06:14:42,1,0.309
1745273683,06:14:43,1,0.310
1745273684,06:14:44,1,0.312
1745273685,06:14:45,1,0.312
1745273686,06:14:46,1,0.313
1745273687,06:14:47,1,0.313
1745273688,06:14:48,1,0.313
1745273689,06:14:49,1,0.313
1745273690,06:14:50,1,0.313
1745273691,06:14:51,1,0.314
1745273692,06:14:52,1,0.314
1745273693,06:14:53,1,0.314
1745273694,06:14:54,1,0.315
1745273695,06:14:55,1,0.305
1745273696,06:14:56,1,0.296
1745273697,06:14:57,1,0.287
1745273698,06:14:58,1,0.283
1745273699,06:14:59,1,0.279
1745273700,06:15:00,1,0.275
1745273701,06:15:01,1,0.271
1745273702,06:15:02,1,0.267
1745273703,06:15:03,1,0.264
1745273704,06:15:04,1,0.262
1745273705,06:15:05,1,0.260
1745273706,06:15:06,1,0.258
1745273707,06:15:07,1,0.256
1745273708,06:15:08,1,0.255
1745273709,06:15:09,1,0.255
1745273710,06:15:10,1,0.254
1745273711,06:15:11,1,0.254
1745273712,06:15:12,1,0.254
1745273713,06:15:13,1,0.255
1745273714,06:15:14,1,0.256
1745273715,06:15:15,1,0.258
1745273716,06:15:16,1,0.259
1745273717,06:15:17,1,0.261
1745273718,06:15:18,1,0.262
1745273719,06:15:19,1,0.265
1745273720,06:15:20,1,0.267
1745273721,06:15:21,1,0.270
1745273722,06:15:22,1,0.272
1745273723,06:15:23,1,0.275
1745273724,06:15:24,1,0.278
1745273725,06:15:25,1,0.280
1745273726,06:15:26,1,0.283
1745273727,06:15:27,1,0.286
1745273728,06:15:28,1,0.288
1745273729,06:15:29,1,0.290
1745273730,06:15:30,1,0.291
1745273731,06:15:31,1,0.293
1745273732,06:15:32,1,0.295
1745273733,06:15:33,1,0.280
1745273734,06:15:34,1,0.263
1745273735,06:15:35,1,0.267
1745273736,06:15:36,1,0.249
1745273737,06:15:37,1,0.230
1745273738,06:15:38,1,0.211
1745273739,06:15:39,1,0.191
1745273740,06:15:40,1,0.171
1745273741,06:15:41,1,0.153
1745273742,06:15:42,1,0.160
1745273743,06:15:43,1,0.145
1745273744,06:15:44,1,0.153
1745273745,06:15:45,1,0.160
1745273746,06:15:46,1,0.147
1745273747,06:15:47,1,0.156
1745273748,06:15:48,1,0.163
1745273749,06:15:49,1,0.168
1745273750,06:15:50,1,0.173
1745273751,06:15:51,1,0.178
1745273752,06:15:52,1,0.184
1745273753,06:15:53,1,0.191
1745273754,06:15:54,1,0.198
1745273755,06:15:55,1,0.205
1745273756,06:15:56,1,0.212
1745273757,06:15:57,1,0.200
1745273758,06:15:58,1,0.189
1745273759,06:15:59,1,0.197
1745273760,06:16:00,1,0.189
1745273761,06:16:01,1,0.199
1745273762,06:16:02,1,0.208
1745273763,06:16:03,1,0.216
1745273764,06:16:04,1,0.223
1745273765,06:16:05,1,0.230
1745273766,06:16:06,1,0.237
1745273767,06:16:07,1,0.226
1745273768,06:16:08,1,0.216
1745273769,06:16:09,1,0.207
1745273770,06:16:10,1,0.200
1745273771,06:16:11,1,0.195
1745273772,06:16:12,1,0.203
1745273773,06:16:13,1,0.210
1745273774,06:16:14,1,0.217
1745273775,06:16:15,1,0.225
1745273776,06:16:16,1,0.233
1745273777,06:16:17,1,0.240
1745273778,06:16:18,1,0.247
1745273779,06:16:19,1,0.255
1745273780,06:16:20,1,0.262
1745273781,06:16:21,1,0.270
1745273782,06:16:22,1,0.278
1745273783,06:16:23,1,0.285
1745273784,06:16:24,1,0.293
1745273785,06:16:25,1,0.301
1745273786,06:16:26,1,0.309
1745273787,06:16:27,1,0.316
1745273788,06:16:28,1,0.324
1745273789,06:16:29,1,0.305
1745273790,06:16:30,1,0.287
1745273791,06:16:31,1,0.268
1745273792,06:16:32,1,0.251
1745273793,06:16:33,1,0.236
1745273794,06:16:34,1,0.225
1745273795,06:16:35,1,0.218
1745273796,06:16:36,1,0.223
1745273797,06:16:37,1,0.229
1745273798,06:16:38,1,0.235
1745273799,06:16:39,1,0.241
1745273800,06:16:40,1,0.247
1745273801,06:16:41,1,0.252
1745273802,06:16:42,1,0.243
1745273803,06:16:43,1,0.237
1745273804,06:16:44,1,0.235
1745273805,06:16:45,1,0.239
1745273806,06:16:46,1,0.248
1745273807,06:16:47,1,0.262
1745273808,06:16:48,1,0.279
